"groups","mean.group.size","max.group.size","d.eff","i.dens","o.dens","m.i.eff","m.o.eff","sex.eff","obs.eff","timesteps","intfreq","floaterprob","probnorm","nreps"
10,10,10,0,0.4,0.4,-0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,4,0.4,0.4,-0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,8,0.4,0.4,-0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,0,0.8,0.4,-0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,4,0.8,0.4,-0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,8,0.8,0.4,-0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,0,1.2,0.4,-0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,4,1.2,0.4,-0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,8,1.2,0.4,-0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,0,0.4,0.2,-0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,4,0.4,0.2,-0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,8,0.4,0.2,-0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,0,0.8,0.2,-0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,4,0.8,0.2,-0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,8,0.8,0.2,-0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,0,1.2,0.2,-0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,4,1.2,0.2,-0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,8,1.2,0.2,-0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,0,0.4,0.1,-0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,4,0.4,0.1,-0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,8,0.4,0.1,-0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,0,0.8,0.1,-0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,4,0.8,0.1,-0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,8,0.8,0.1,-0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,0,1.2,0.1,-0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,4,1.2,0.1,-0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,8,1.2,0.1,-0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,0,0.4,0.4,0,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,4,0.4,0.4,0,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,8,0.4,0.4,0,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,0,0.8,0.4,0,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,4,0.8,0.4,0,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,8,0.8,0.4,0,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,0,1.2,0.4,0,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,4,1.2,0.4,0,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,8,1.2,0.4,0,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,0,0.4,0.2,0,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,4,0.4,0.2,0,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,8,0.4,0.2,0,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,0,0.8,0.2,0,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,4,0.8,0.2,0,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,8,0.8,0.2,0,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,0,1.2,0.2,0,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,4,1.2,0.2,0,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,8,1.2,0.2,0,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,0,0.4,0.1,0,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,4,0.4,0.1,0,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,8,0.4,0.1,0,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,0,0.8,0.1,0,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,4,0.8,0.1,0,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,8,0.8,0.1,0,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,0,1.2,0.1,0,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,4,1.2,0.1,0,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,8,1.2,0.1,0,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,0,0.4,0.4,0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,4,0.4,0.4,0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,8,0.4,0.4,0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,0,0.8,0.4,0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,4,0.8,0.4,0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,8,0.8,0.4,0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,0,1.2,0.4,0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,4,1.2,0.4,0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,8,1.2,0.4,0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,0,0.4,0.2,0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,4,0.4,0.2,0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,8,0.4,0.2,0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,0,0.8,0.2,0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,4,0.8,0.2,0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,8,0.8,0.2,0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,0,1.2,0.2,0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,4,1.2,0.2,0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,8,1.2,0.2,0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,0,0.4,0.1,0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,4,0.4,0.1,0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,8,0.4,0.1,0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,0,0.8,0.1,0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,4,0.8,0.1,0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,8,0.8,0.1,0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,0,1.2,0.1,0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,4,1.2,0.1,0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,8,1.2,0.1,0.5,NA,0.5,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,0,0.4,0.4,-0.5,NA,1,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,4,0.4,0.4,-0.5,NA,1,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,8,0.4,0.4,-0.5,NA,1,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,0,0.8,0.4,-0.5,NA,1,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,4,0.8,0.4,-0.5,NA,1,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,8,0.8,0.4,-0.5,NA,1,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,0,1.2,0.4,-0.5,NA,1,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,4,1.2,0.4,-0.5,NA,1,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,8,1.2,0.4,-0.5,NA,1,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,0,0.4,0.2,-0.5,NA,1,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,4,0.4,0.2,-0.5,NA,1,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,8,0.4,0.2,-0.5,NA,1,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,0,0.8,0.2,-0.5,NA,1,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,4,0.8,0.2,-0.5,NA,1,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,8,0.8,0.2,-0.5,NA,1,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,0,1.2,0.2,-0.5,NA,1,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,4,1.2,0.2,-0.5,NA,1,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,8,1.2,0.2,-0.5,NA,1,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,0,0.4,0.1,-0.5,NA,1,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,4,0.4,0.1,-0.5,NA,1,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,8,0.4,0.1,-0.5,NA,1,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,0,0.8,0.1,-0.5,NA,1,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,4,0.8,0.1,-0.5,NA,1,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,8,0.8,0.1,-0.5,NA,1,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,0,1.2,0.1,-0.5,NA,1,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,4,1.2,0.1,-0.5,NA,1,"0.3 0.6 0.9",1000,10,0.01,NA,1000
10,10,10,8,1.2,0.1,-0.5,NA,1,"0.3 0.6 0.9",1000,10,0.01,NA,1000
